block_number,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0x4104b135DBC9609Fc1A9490E61369036497660c8,0x4b13006980aCB09645131b91D259eaA111eaF5Ba,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0x6BeA7CFEF803D1e3d5f7C0103f7ded065644e197,0x9C4A4204B79dd291D6b6571C5BE8BbcD0622F050,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF
13566037,18.06442423664146,3.912624868448885,,11.714480282886445,,0.507563673576675,10.056776744812698,4488.022429,0.5340201492718308,494.2941208059053
13572494,17.562950869861012,3.841004570836384,,12.025165600502978,,0.5371819683847314,10.436697375654791,4583.983736,0.5482093260690502,533.6391592625979
13578838,23.598437659101428,3.96037306731906,,12.207583295487325,,0.5681433977041505,10.437277257993276,4787.83301,0.5648612395921047,522.1108069778141
13585206,23.488473904680273,3.3835228108571247,,11.922065736694936,,0.4844782532200162,10.563478311951656,4717.44515,0.5494988318711358,484.8316688955436
13591595,25.179420282853496,3.237462705689063,,11.03013355089773,,0.4468269872465355,9.472679242716318,4617.080668,0.5358255219783764,449.3743065240508
13597970,25.79257646625539,2.981214609420921,,11.1343525050465,,0.4689627232501667,9.84304197806831,4714.659545,0.5360966765338446,448.1132876708925
13604390,24.711421692705347,3.0732008893640943,,10.93387511767272,,0.4102353723846711,9.585565168742509,4650.757377,0.5355457996255576,434.4275279929348
13610718,22.933274407414732,2.9578175515573,,11.064072935415368,,0.4478770942238796,9.745621646188695,4630.451585,0.5443556962257582,434.98765577999126
13617059,20.312507995884463,2.9783807693667463,,11.033362778405687,,0.4519715525029858,10.11299173556565,4608.071317,0.5450908169366802,423.6210686230812
13623376,19.242630585381853,3.6638448917694055,,10.379974967302946,,0.4428574354317052,9.550311588203414,4548.460114,0.564828837423472,471.28810304694736
13629631,17.318174996158724,3.7520565630837592,,9.669087355166738,,0.337383399467679,8.786287670227559,4214.260908,0.6740619775419866,427.9514065747821
13636020,16.713571553361895,3.811843646851665,,9.688306287522838,,0.3919967534033852,8.867135632313127,4273.068649,0.7019731657329198,417.69963118518007
13642394,15.805484085340975,3.459729038043587,,8.706172567992954,,0.3362029475967206,8.103242386928255,3975.3302749999993,0.7253270463810374,355.0144427803936
13648625,20.296746218076517,4.651886474500019,,8.94241439228256,,0.3773616063155541,8.5660930314369,4275.984966,0.7118274535442175,375.96561964401366
13654917,19.634057063499633,4.595758745259503,,8.951878472117862,,0.365435979897364,8.760413212606444,4393.178055,0.737215933033178,387.406086374664
13661207,17.464234184881057,4.3996310365468645,,8.741759803672048,,0.3658518765725871,8.479716416716435,4259.664773,0.7280718523118186,376.5244038583335
13667574,16.322216338495654,4.098313363818368,,8.247145037998617,,0.323045616348289,8.070019909682003,4082.128821,0.746244702214815,352.93707008763243
13673910,17.916006859739422,4.163953540296441,,8.397502507191247,,0.3241400016480938,8.09466643315222,4334.562764,0.8004018098861135,371.2100833249881
13680218,17.68058305176947,4.0116549330642535,,7.947632714590069,,0.2911635574909924,7.8846724326682285,4245.7725,0.8172959255636628,352.17862807831887
13686523,19.403875561522298,4.181554799840628,,8.17038533220897,,0.2866603838286758,8.118388568520304,4508.328436,0.9162684226804928,384.7655293982861
13692739,17.265751432182,3.763568877068169,,6.976447411917906,,0.2720776608698528,7.39586041185487,4025.309817,0.6812053989766423,306.4497420876861
13699124,16.966232506610268,3.8451388094297863,,7.033889492661077,,0.275366292164441,7.628106857461484,4073.9641600000004,0.6999906906412532,305.24604974897017
13705381,17.74663728398015,4.5568368104158745,,7.872277693577285,,0.3288932647603934,7.606265112037828,4279.701506,0.7893088583814244,392.66943734577455
13711590,17.63359273517765,4.903445102606342,,7.461890356076958,,0.3278201181775017,7.8830790911813455,4429.352134,0.933029740414166,383.716646619794
13717843,17.827177182697195,5.075583374786564,,7.948840954026707,,0.3385690627751751,7.6881466502353994,4626.147102,0.9285941795056192,387.4336323677927
13724081,17.724688456897894,4.882966742578505,,7.569535656520527,,0.3023045172927741,7.280168106540749,4566.268157,0.9004868901294495,353.2593232985876
13730330,16.9083735779899,4.4463545120981305,,7.374916243249474,,0.2953989997274428,7.1656066936772955,4505.02204,0.883426352558713,329.4739434763398
13736625,16.205260949179895,3.8669295281264495,,6.825409473005063,,0.2771264213689766,6.988053987558702,4213.124084,0.6849917638239187,307.85528575072414
13742802,15.16684104622993,3.644328209260095,,5.818583488297763,,0.2698986198988846,6.300664222683164,4103.240572,0.726930898881439,293.2902276751132
13749034,14.539829421546788,3.943096868844002,,5.235050496845475,,0.2251645588842771,5.844032216692555,4176.296841,0.8154198594175605,288.31282565836256
13755303,17.665692598250367,3.49514298641335,,6.32767514526358,,0.2474468859095376,5.954581678733765,4340.053034,0.9076568656896256,285.3325592059886
