block_number,timestamp,pool_address,token0_p0,token0_p1,token1_p0,token1_p1,il
13566037,1636243200,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4488.022429,4630.451585,0.5340201492718308,0.5443556962257582,-0.0018219137683739284
13572494,1636329600,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4583.983736,4608.071317,0.5482093260690502,0.5450908169366802,-0.0014975985729415164
13578838,1636416000,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4787.83301,4548.460114,0.5648612395921047,0.564828837423472,-0.032799757141233066
13585206,1636502400,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4717.44515,4214.260908,0.5494988318711358,0.6740619775419866,-1.2439396986597573
13591595,1636588800,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4617.080668,4273.068649,0.5358255219783764,0.7019731657329198,-1.4908402215167205
13597970,1636675200,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4714.659545,3975.330275,0.5360966765338446,0.7253270463810374,-2.731498142041744
13604390,1636761600,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4650.757377,4275.984966,0.5355457996255576,0.7118274535442175,-1.674300166369369
13610718,1636848000,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4630.451585,4393.178055,0.5443556962257582,0.737215933033178,-1.5625070743426783
13617059,1636934400,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4608.071317,4259.664773,0.5450908169366802,0.7280718523118186,-1.669837344097569
13623376,1637020800,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4548.460114,4082.128821,0.564828837423472,0.746244702214815,-1.8405397249687483
13629631,1637107200,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4214.260908,4334.562764,0.6740619775419866,0.8004018098861135,-0.25737139119154095
13636020,1637193600,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4273.068649,4245.7725,0.7019731657329198,0.8172959255636628,-0.3132656040802484
13642394,1637280000,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,3975.330275,4508.328436,0.7253270463810374,0.9162684226804927,-0.14526798818742526
13648625,1637366400,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4275.984966,4025.309817,0.7118274535442175,0.6812053989766423,-0.003378706739753934
13654917,1637452800,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4393.178055,4073.96416,0.737215933033178,0.6999906906412532,-0.006974918760016546
13661207,1637539200,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4259.664773,4279.701506,0.7280718523118186,0.7893088583814244,-0.07228028941278497
13667574,1637625600,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4082.128821,4429.352134,0.746244702214815,0.9330297404141661,-0.25063444410045044
13673910,1637712000,0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,4334.562764,4626.147102,0.8004018098861135,0.9285941795056191,-0.08699468964638024
