pool_address,block_number,token0_reserves,token1_reserves,token0_price,token1_price,timestamp,token0_address,token1_address
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15871479,1712.4215357662908,66947664.57631752,1566.867312,0.0400781318622157,1667260800,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15864318,1724.3278646229785,66525653.13814905,1584.92388,0.04108082041547325,1667174400,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15857155,1748.8672120990257,66103808.589603215,1611.743814,0.04264090028621072,1667088000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15850001,1744.7408295454595,66250345.403039366,1552.394682,0.04088320398598829,1667001600,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15842846,1766.8635038676675,65418107.670249335,1506.774642,0.04069615001587409,1666915200,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15835684,1765.9485733161944,65484735.670670606,1563.265516,0.04215709935179667,1666828800,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15828523,1788.1830797169869,64680206.30157716,1454.387607,0.040208766466535886,1666742400,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15821368,1781.694345748335,64935554.46587645,1341.392641,0.036804978467598094,1666656000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15814245,1784.23542080873,64839172.78190955,1360.425852,0.03743601110838862,1666569600,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
0x470e8de2eBaef52014A47Cb5E6aF86884947F08c,15807083,1803.4711533843838,64320161.319243446,1310.844614,0.036754734432094774,1666483200,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
